target,model,RMSE,MAE,R2,DM,p_value
yield_2y,baseline_naive,0.17450024071522174,0.11392903296703297,0.9797676504742987,,
yield_2y,random_forest,0.273061197579421,0.16194275542124567,0.9504579196286966,2.6650071530968513,0.00769866851992318
yield_2y,xgboost,0.2845881243743288,0.17022750196228642,0.9461869255250789,2.3136230697542284,0.02068840710088038
yield_5y,baseline_naive,0.19933784500177218,0.1481389285714286,0.9706628052525672,,
yield_5y,random_forest,0.28290506596688547,0.1926769577655676,0.9409091122185169,2.7046440299560564,0.006837761976300705
yield_5y,xgboost,0.2830898869532256,0.1911122033309741,0.9408318792178939,2.1473444628078555,0.03176586852927965
yield_10y,baseline_naive,0.20862537168757836,0.16445746153846152,0.9703684253099427,,
yield_10y,random_forest,0.31047927554544086,0.2100505836446889,0.9343725216477275,2.002609513996423,0.045219217881590446
yield_10y,xgboost,0.2964628805216644,0.20326850030107288,0.9401641957546625,1.9713573750982518,0.048683012943909754
